ds,montant,is_depense,is_revenu
2024-01-01,142375.63,1,0
2024-01-01,139174.68,0,1
2024-01-01,379277.99,0,1
2024-01-01,369186.49,0,1
2024-01-01,185894.89,0,1
2024-01-01,178379.05,1,0
2024-01-01,466406.21,0,1
2024-01-01,440346.16,0,1
2024-01-01,451085.27,0,1
2024-01-01,444350.91,0,1
2024-01-01,177341.42,1,0
2024-01-01,89348.04,1,0
2024-01-01,93932.45,0,1
2024-01-01,184104.75,0,1
2024-01-01,184920.98,0,1
2024-01-01,74980.71,1,0
2024-01-01,137181.16,0,1
2024-01-01,41772.23,1,0
2024-01-01,355868.99,0,1
2024-01-02,113254.44,1,0
2024-01-02,32621.38,1,0
2024-01-02,372065.56,0,1
2024-01-02,136339.44,1,0
2024-01-02,298886.32,0,1
2024-01-02,67891.43,1,0
2024-01-02,467329.58,0,1
2024-01-02,279844.68,0,1
2024-01-02,303111.55,0,1
2024-01-02,245670.49,0,1
2024-01-02,80430.98,0,1
2024-01-02,101054.25,0,1
2024-01-02,305972.09,0,1
2024-01-02,215744.99,0,1
2024-01-02,244465.82,0,1
2024-01-02,160416.57,0,1
2024-01-02,65711.07,0,1
2024-01-02,166645.87,1,0
2024-01-02,14308.02,0,1
2024-01-02,169167.89,0,1
2024-01-02,455119.62,0,1
2024-01-02,187193.61,0,1
2024-01-02,329152.65,0,1
2024-01-03,157080.74,0,1
2024-01-03,398260.04,0,1
2024-01-03,493272.38,0,1
2024-01-03,303572.38,0,1
2024-01-03,96211.39,1,0
2024-01-03,36418.29,1,0
2024-01-03,126213.42,1,0
2024-01-03,127931.58,1,0
2024-01-03,42022.5,0,1
2024-01-03,271692.33,0,1
2024-01-03,273709.67,0,1
2024-01-03,122081.98,0,1
2024-01-03,183160.09,0,1
2024-01-03,116535.68,1,0
2024-01-03,372520.9,0,1
2024-01-03,46548.3,1,0
2024-01-03,130273.0,1,0
2024-01-03,76883.06,1,0
2024-01-04,154269.92,1,0
2024-01-04,46817.56,1,0
2024-01-04,254934.21,0,1
2024-01-04,69901.43,0,1
2024-01-04,27866.29,1,0
2024-01-04,193402.61,1,0
2024-01-04,137765.12,0,1
2024-01-04,180662.83,1,0
2024-01-04,439336.75,0,1
2024-01-04,227775.47,0,1
2024-01-04,139732.58,1,0
2024-01-04,454204.83,0,1
2024-01-04,217154.33,0,1
2024-01-04,89371.19,1,0
2024-01-04,363825.81,0,1
2024-01-04,161787.11,1,0
2024-01-04,122473.07,1,0
2024-01-04,13691.98,1,0
2024-01-04,38952.25,1,0
2024-01-04,195866.93,0,1
2024-01-04,141549.38,1,0
2024-01-05,196927.48,1,0
2024-01-05,11509.59,1,0
2024-01-05,26617.52,1,0
2024-01-05,257524.54,0,1
2024-01-05,93649.33,1,0
2024-01-05,329970.29,0,1
2024-01-05,212542.16,0,1
2024-01-05,418729.6,0,1
2024-01-05,356814.52,0,1
2024-01-05,30618.33,1,0
2024-01-05,67117.66,1,0
2024-01-05,219427.29,0,1
2024-01-05,220724.83,0,1
2024-01-05,191921.4,1,0
2024-01-06,36141.3,1,0
2024-01-06,124624.07,1,0
2024-01-06,90908.95,1,0
2024-01-06,92463.86,1,0
2024-01-06,246016.3,0,1
2024-01-06,143336.86,0,1
2024-01-06,120555.4,1,0
2024-01-06,178642.91,1,0
2024-01-06,482105.54,0,1
2024-01-06,477463.89,0,1
2024-01-06,137749.04,1,0
2024-01-06,2794.89,1,0
2024-01-06,398272.87,0,1
2024-01-06,122620.92,0,1
2024-01-06,315401.43,0,1
2024-01-06,237345.38,0,1
2024-01-07,134438.41,1,0
2024-01-07,83832.08,1,0
2024-01-07,56287.72,1,0
2024-01-07,134268.85,0,1
2024-01-07,118082.28,1,0
2024-01-07,479382.78,0,1
2024-01-07,12900.3,0,1
2024-01-07,291264.46,0,1
2024-01-07,390860.8,0,1
2024-01-07,392091.24,0,1
2024-01-07,68557.87,0,1
2024-01-07,86778.7,1,0
2024-01-07,57614.31,1,0
2024-01-07,166674.2,1,0
2024-01-07,137364.36,0,1
2024-01-07,109048.27,1,0
2024-01-07,35612.52,0,1
2024-01-07,377548.98,0,1
2024-01-07,19855.0,1,0
2024-01-08,174086.02,1,0
2024-01-08,356183.67,0,1
2024-01-08,74839.34,0,1
2024-01-08,90851.97,1,0
2024-01-08,144760.63,1,0
2024-01-08,96773.59,1,0
2024-01-08,438678.28,0,1
2024-01-08,319918.4,0,1
2024-01-08,94909.63,0,1
2024-01-08,16800.65,1,0
2024-01-08,61144.7,1,0
2024-01-08,129980.12,1,0
2024-01-08,140067.84,1,0
2024-01-08,310552.07,0,1
2024-01-09,144644.48,1,0
2024-01-09,454463.74,0,1
2024-01-09,272435.45,0,1
2024-01-09,31071.18,1,0
2024-01-09,405281.24,0,1
2024-01-09,60783.57,1,0
2024-01-09,218478.83,0,1
2024-01-09,176409.72,0,1
2024-01-09,176791.24,1,0
2024-01-09,186608.16,1,0
2024-01-09,233972.25,0,1
2024-01-09,68562.34,0,1
2024-01-09,163473.57,1,0
2024-01-09,427298.92,0,1
2024-01-09,427994.12,0,1
2024-01-09,497608.52,0,1
2024-01-09,132163.97,0,1
2024-01-09,181324.89,1,0
2024-01-09,80808.94,1,0
2024-01-09,168679.3,1,0
2024-01-10,4490.16,1,0
2024-01-10,389325.77,0,1
2024-01-10,182416.08,1,0
2024-01-10,6568.22,1,0
2024-01-10,89724.13,0,1
2024-01-10,113409.78,1,0
2024-01-10,1144.4,0,1
2024-01-10,402625.68,0,1
2024-01-10,39176.94,0,1
2024-01-10,286149.7,0,1
2024-01-11,100706.91,0,1
2024-01-11,331507.34,0,1
2024-01-11,173609.69,1,0
2024-01-11,2302.44,0,1
2024-01-11,293352.36,0,1
2024-01-11,391427.53,0,1
2024-01-11,154767.61,0,1
2024-01-11,158959.49,1,0
2024-01-11,129242.13,1,0
2024-01-11,60021.58,1,0
2024-01-11,75518.28,1,0
2024-01-11,58195.55,1,0
2024-01-11,136974.56,1,0
2024-01-11,60420.55,1,0
2024-01-11,175402.98,0,1
2024-01-12,391301.48,0,1
2024-01-12,54784.68,0,1
2024-01-12,44156.36,0,1
2024-01-12,88484.43,1,0
2024-01-12,180685.32,0,1
2024-01-12,129791.55,0,1
2024-01-12,224821.13,0,1
2024-01-12,367014.68,0,1
2024-01-12,379212.62,0,1
2024-01-12,13791.16,0,1
2024-01-12,221707.11,0,1
2024-01-12,94651.43,1,0
2024-01-12,32451.48,0,1
2024-01-12,395284.66,0,1
2024-01-13,413389.36,0,1
2024-01-13,154419.52,0,1
2024-01-13,93607.99,1,0
2024-01-13,182991.75,1,0
2024-01-13,50921.3,1,0
2024-01-13,453169.63,0,1
2024-01-13,251119.05,0,1
2024-01-13,136535.81,1,0
2024-01-13,192662.06,1,0
2024-01-13,44807.05,1,0
2024-01-13,282172.83,0,1
2024-01-13,478253.3,0,1
2024-01-13,83918.43,1,0
2024-01-13,212008.57,0,1
2024-01-13,63927.57,0,1
2024-01-13,182224.15,0,1
2024-01-13,295724.63,0,1
2024-01-13,187542.61,1,0
2024-01-13,182158.75,1,0
2024-01-13,380185.99,0,1
2024-01-14,115367.27,1,0
2024-01-14,416162.46,0,1
2024-01-14,290146.23,0,1
2024-01-14,127671.8,1,0
2024-01-14,326122.04,0,1
2024-01-14,121570.77,1,0
2024-01-14,159358.55,1,0
2024-01-14,148447.65,1,0
2024-01-14,160815.36,0,1
2024-01-14,128215.57,1,0
2024-01-14,331855.33,0,1
2024-01-15,166175.38,1,0
2024-01-15,147836.08,1,0
2024-01-15,413302.91,0,1
2024-01-15,490320.8,0,1
2024-01-15,100673.23,1,0
2024-01-15,197451.56,0,1
2024-01-15,157502.19,1,0
2024-01-15,51875.82,1,0
2024-01-15,134468.98,0,1
2024-01-15,119780.73,0,1
2024-01-15,12620.88,1,0
2024-01-15,46316.42,1,0
2024-01-15,3533.56,0,1
2024-01-15,389918.3,0,1
2024-01-16,83616.6,1,0
2024-01-16,37058.79,1,0
2024-01-16,129474.9,0,1
2024-01-16,372937.83,0,1
2024-01-16,36932.41,1,0
2024-01-16,131139.16,0,1
2024-01-16,6368.81,1,0
2024-01-16,285358.14,0,1
