id_campagne,nom_campagne,canal,budget,date_debut,date_fin,ventes_generees,taux_engagement_percent,Roi_percent,cout_par_vente,mois,annee
M00001,CAMPAGNE SAISON 15,Email,11716.74,2025-01-07,2025-01-28,187,3.31,140.72,62.66,1,2025
M00002,CAMPAGNE PROMO 365,Radio,16675.39,2025-08-02,2025-08-29,1814,2.66,1.25,9.19,8,2025
M00003,CAMPAGNE BLACKFRIDAY 22,Google Ads,864.21,2024-01-05,2024-01-29,162,7.36,32.65,5.33,1,2024
M00004,CAMPAGNE FIDÉLITÉ 372,Tiktok,8598.72,2024-09-11,2024-10-11,1043,2.46,-1.49,8.24,9,2024
M00005,CAMPAGNE INFLUENCE 409,Facebook,8555.16,2024-03-14,2024-04-06,1546,7.37,131.1,5.53,3,2024
M00006,CAMPAGNE INFLUENCE 18,Instagram,12745.58,2024-10-25,2024-11-02,1538,3.94,85.97,8.29,10,2024
M00007,CAMPAGNE BLACKFRIDAY 407,Instagram,15849.1,2025-05-02,2025-05-30,1107,4.86,110.24,14.32,5,2025
M00008,CAMPAGNE BLACKFRIDAY 317,Tv,4270.41,2025-04-30,2025-05-18,144,3.28,60.33,29.66,4,2025
M00009,CAMPAGNE LANCEMENT 168,Instagram,10626.59,2024-06-29,2024-07-29,1933,1.89,14.87,5.5,6,2024
M00010,CAMPAGNE LANCEMENT 360,Instagram,9037.85,2024-08-13,2024-09-10,1993,6.97,36.45,4.53,8,2024
M00011,CAMPAGNE INFLUENCE 323,Google Ads,5841.92,2025-07-27,2025-08-15,757,4.32,68.42,7.72,7,2025
M00012,CAMPAGNE BLACKFRIDAY 88,Tiktok,14598.37,2025-06-11,2025-07-06,375,2.96,56.96,38.93,6,2025
M00013,CAMPAGNE PROMO 53,Tiktok,11634.64,2024-06-03,2024-06-09,1574,11.07,73.0,7.39,6,2024
M00014,CAMPAGNE PROMO 278,Tv,12219.49,2024-03-27,2024-04-06,631,2.02,139.95,19.37,3,2024
M00015,CAMPAGNE SAISON 396,Radio,7014.71,2025-01-03,2025-01-10,235,5.33,128.22,29.85,1,2025
M00016,CAMPAGNE PROMO 395,Tv,1318.39,2024-02-16,2024-03-10,1323,4.22,45.92,1.0,2,2024
M00017,CAMPAGNE FIDÉLITÉ 25,Radio,6450.88,2024-10-22,2024-11-05,1338,2.68,118.6,4.82,10,2024
M00018,CAMPAGNE PROMO 475,Tiktok,9350.95,2025-01-10,2025-02-04,697,1.67,16.74,13.42,1,2025
M00019,CAMPAGNE LANCEMENT 456,Facebook,2909.3,2024-03-02,2024-03-07,1755,6.35,-18.29,1.66,3,2024
M00020,CAMPAGNE FIDÉLITÉ 326,Email,15028.01,2024-10-31,2024-11-06,923,11.38,104.28,16.28,10,2024
M00021,CAMPAGNE PROMO 64,Email,9136.29,2025-02-19,2025-03-07,226,6.15,59.15,40.43,2,2025
M00022,CAMPAGNE INFLUENCE 309,Tiktok,9700.21,2025-01-13,2025-01-20,1413,7.19,137.51,6.86,1,2025
M00023,CAMPAGNE SAISON 123,Tiktok,3684.67,2024-06-05,2024-06-20,293,8.83,79.69,12.58,6,2024
M00024,CAMPAGNE PROMO 175,Instagram,17903.69,2024-07-11,2024-07-22,1285,1.22,40.99,13.93,7,2024
M00025,CAMPAGNE FIDÉLITÉ 414,Instagram,14573.3,2024-09-29,2024-10-07,1885,2.11,21.63,7.73,9,2024
M00026,CAMPAGNE PROMO 143,Google Ads,11014.34,2024-01-19,2024-01-30,1350,4.91,82.29,8.16,1,2024
M00027,CAMPAGNE BLACKFRIDAY 423,Facebook,11915.59,2025-02-09,2025-02-25,641,5.7,86.98,18.59,2,2025
M00028,CAMPAGNE INFLUENCE 40,Instagram,15539.78,2025-03-19,2025-04-12,1674,7.76,134.08,9.28,3,2025
M00029,CAMPAGNE FIDÉLITÉ 292,Facebook,18797.33,2024-03-25,2024-04-14,578,8.02,106.46,32.52,3,2024
M00030,CAMPAGNE SAISON 269,Radio,6124.09,2024-11-27,2024-12-07,1942,5.48,-10.06,3.15,11,2024
M00031,CAMPAGNE FIDÉLITÉ 403,Radio,7365.85,2024-06-20,2024-07-14,710,10.2,95.92,10.37,6,2024
M00032,CAMPAGNE LANCEMENT 26,Tv,8902.88,2024-03-15,2024-04-11,985,2.0,95.63,9.04,3,2024
M00033,CAMPAGNE PROMO 285,Facebook,14369.44,2025-08-18,2025-08-31,1215,6.14,138.31,11.83,8,2025
M00034,CAMPAGNE FIDÉLITÉ 426,Facebook,18406.11,2024-01-11,2024-01-23,561,9.73,62.48,32.81,1,2024
M00035,CAMPAGNE SAISON 162,Tv,4995.37,2025-02-12,2025-03-05,482,7.8,6.31,10.36,2,2025
M00036,CAMPAGNE LANCEMENT 421,Tiktok,2939.24,2024-05-02,2024-05-09,1028,2.2,69.96,2.86,5,2024
M00037,CAMPAGNE INFLUENCE 395,Instagram,18747.54,2025-08-03,2025-08-10,22,4.18,6.27,852.16,8,2025
M00038,CAMPAGNE FIDÉLITÉ 479,Email,1939.15,2025-03-30,2025-04-18,1386,7.54,50.74,1.4,3,2025
M00039,CAMPAGNE INFLUENCE 380,Instagram,2721.85,2025-05-05,2025-05-25,180,3.15,30.85,15.12,5,2025
M00040,CAMPAGNE BLACKFRIDAY 373,Facebook,7442.14,2025-07-12,2025-08-08,466,3.7,137.91,15.97,7,2025
M00041,CAMPAGNE PROMO 15,Email,12684.61,2024-02-09,2024-03-06,323,6.86,6.85,39.27,2,2024
M00042,CAMPAGNE LANCEMENT 186,Instagram,8718.38,2025-08-26,2025-09-14,1378,9.16,43.94,6.33,8,2025
M00043,CAMPAGNE FIDÉLITÉ 89,Radio,18918.18,2024-09-07,2024-09-27,329,10.87,40.57,57.5,9,2024
